Day fraction since midnight on 	pH probe (pH)	pH probe (pH)
0.6175863291	7.7524118423	7.5863194466
0.6175979055	7.7513175011	7.5852003098
0.6176094739	7.7404465675	7.5740866661
0.6176210443	7.7331728935	7.5666499138
0.6176326142	7.7251667976	7.5584650040
0.6176442043	7.7169623375	7.5500764847
0.6176557735	7.7145471573	7.5476074219
0.6176673436	7.7105083466	7.5434780121
correct start time
0.6176789106	7.7083530426	7.5412745476
0.6176905007	7.7049822807	7.5378284454
0.6177020711	7.7023439407	7.5351309776
0.6177136612	7.6956701279	7.5283079147
0.6177252316	7.6824164391	7.5147581100
0.6177368017	7.6762166023	7.5084190369
0.6177483687	7.6732630730	7.5053997040
0.6177599357	7.6690173149	7.5010585785
0.6177715299	7.6663413048	7.4983229637
0.6177830738	7.6629900932	7.4948964119
0.6177946678	7.6627931595	7.4946951866
0.6178062367	7.6559028625	7.4876508713
0.6178178075	7.6467866898	7.4783310890
0.6178293798	7.6357293129	7.4670262337
0.6178409699	7.6361823082	7.4674887657
0.6178525368	7.6273612976	7.4584703445
0.6178641127	7.6229858398	7.4539971352
0.6178756797	7.6188106537	7.4497284889
0.6178872467	7.6048054695	7.4354100227
0.6178988157	7.5924859047	7.4228148460
0.6179104058	7.5882720947	7.4185066223
0.6179219751	7.5896015167	7.4198660851
0.6179335443	7.5855846405	7.4157590866
0.6179451113	7.5820531845	7.4121489525
0.6179567014	7.5804901123	7.4105505943
0.6179682713	7.5800600052	7.4101109505
0.6179798383	7.5796823502	7.4097247124
0.6179914072	7.5779466629	7.4079504013
0.6180029973	7.5758075714	7.4057631493
0.6180145663	7.5719313622	7.4018001556
0.6180261411	7.5688838959	7.3986845016
0.6180377081	7.5685067177	7.3982992172
0.6180492982	7.5579147339	7.3874697685
0.6180608688	7.5507020950	7.3800964355
0.6180724357	7.5442090034	7.3734574318
0.6180840027	7.5458517075	7.3751373291
0.6180955950	7.5375857353	7.3666858673
0.6181071619	7.5373005867	7.3663945198
0.6181187289	7.5356831551	7.3647413254
0.6181303190	7.5314726830	7.3604364395
0.6181418860	7.5341830254	7.3632078171
0.6181534530	7.5215325356	7.3502736092
0.6181650218	7.5182704926	7.3469390869
0.6181766140	7.5199623108	7.3486685753
0.6181881810	7.5122175217	7.3407502174
0.6181997580	7.4999108315	7.3281683922
0.6182113290	7.4950561523	7.3232049942
0.6182228993	7.4942784309	7.3224101067
0.6182344663	7.4897089005	7.3177380562
0.6182460590	7.4816789627	7.3095288277
0.6182576260	7.4790472984	7.3068380356
0.6182691930	7.4746603966	7.3023529053
0.6182807648	7.4679446220	7.2954869270
0.6182923549	7.4633812904	7.2908215523
0.6183039219	7.4592232704	7.2865705490
0.6183154936	7.4580845833	7.2854065895
0.6183270626	7.4552211761	7.2824788094
0.6183386527	7.4517116547	7.2788910866
0.6183502236	7.4496927261	7.2768263817
0.6183617906	7.4476957321	7.2747850418
0.6183733617	7.4431037903	7.2700901031
0.6183849287	7.4402523041	7.2671751976
0.6183965188	7.4418187141	7.2687764168
0.6184080877	7.4391417503	7.2660393715
0.6184196587	7.4394392967	7.2663440704
0.6184312289	7.4299273491	7.2566189766
0.6184428190	7.4212112427	7.2477078438
0.6184543860	7.4149231911	7.2412791252
0.6184659529	7.4122719765	7.2385683060
0.6184775259	7.4092755318	7.2355051041
0.6184890972	7.4084815979	7.2346930504
0.6185006891	7.4074954987	7.2336854935
0.6185122561	7.4051017761	7.2312378883
0.6185238296	7.4048595428	7.2309904099
0.6185354197	7.4032640457	7.2293591499
0.6185469867	7.3974552155	7.2234201431
0.6185585536	7.3950033188	7.2209134102
0.6185701206	7.3894376755	7.2152233124
0.6185816914	7.3876056671	7.2133502960
0.6185932638	7.3804526329	7.2060370445
0.6186048360	7.3792185783	7.2047758102
0.6186164281	7.3731679916	7.1985898018
0.6186279971	7.3700394630	7.1953911781
0.6186395641	7.3673906326	7.1926827431
0.6186511542	7.3668160439	7.1920952797
0.6186627231	7.3657598495	7.1910157204
0.6186742900	7.3663587570	7.1916279793
0.6186858824	7.3636121750	7.1888198853
0.6186974279	7.3637371063	7.1889476776
0.6187090228	7.3633513451	7.1885533333
0.6187205897	7.3631277084	7.1883249283
0.6187321585	7.3612561226	7.1864113808
0.6187437255	7.3591055870	7.1842122078
0.6187553156	7.3550634384	7.1800799370
0.6187668852	7.3525786400	7.1775393486
0.6187784522	7.3472771645	7.1721196175
0.6187900220	7.3439435959	7.1687111855
0.6188016161	7.3436498642	7.1684107780
0.6188131831	7.3342466354	7.1587977409
0.6188247528	7.3338303566	7.1583719254
0.6188363198	7.3253130913	7.1496639252
0.6188478915	7.3257780075	7.1501393318
0.6188594856	7.3239512444	7.1482715607
0.6188710525	7.3230004311	7.1472997665
0.6188826195	7.3219780922	7.1462545395
0.6188942096	7.3185505867	7.1427502632
0.6189057766	7.3183679581	7.1425633430
0.6189173472	7.3172702789	7.1414408684
0.6189289142	7.3188161850	7.1430215836
0.6189405063	7.3166894913	7.1408476830
0.6189520732	7.3148107529	7.1389265060
0.6189636442	7.3093400002	7.1333332062
0.6189752131	7.3082189560	7.1321873665
0.6189867827	7.3092775345	7.1332697868
0.6189983764	7.3008618355	7.1246657372
0.6190099434	7.2951273918	7.1188030243
